127.0.0.1 - - [23/Mar/2023:21:28:53 +0700] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /login HTTP/1.1" 200 5346
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /templates/auth/bootstrap/css/bootstrap.min.css%3E HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /templates/auth/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /templates/auth/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 200 19686
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /templates/auth/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 200 8163
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /templates/auth/vendor/select2/select2.min.css HTTP/1.1" 200 15196
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /templates/auth/vendor/animate/animate.css HTTP/1.1" 200 23848
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /templates/auth/vendor/animsition/css/animsition.min.css HTTP/1.1" 200 27478
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /templates/auth/fonts/Linearicons-Free-v1.0.0/icon-font.min.css HTTP/1.1" 200 7354
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /templates/auth/css/style.css HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /templates/auth/css/main.css HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /templates/auth/css/util.css HTTP/1.1" 200 86814
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /templates/auth/vendor/animsition/js/animsition.min.js HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /templates/auth/vendor/jquery/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /templates/auth/vendor/bootstrap/js/popper.js HTTP/1.1" 200 81670
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /templates/auth/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51143
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /templates/auth/vendor/select2/select2.min.js HTTP/1.1" 200 66664
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /templates/auth/vendor/daterangepicker/moment.min.js HTTP/1.1" 200 46645
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /templates/auth/js/main.js HTTP/1.1" 200 2321
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /templates/auth/vendor/countdowntime/countdowntime.js HTTP/1.1" 200 1340
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /templates/auth/vendor/daterangepicker/daterangepicker.js HTTP/1.1" 200 69776
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /templates/auth/images/bg-01.jpg HTTP/1.1" 200 254346
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /templates/auth/fonts/ubuntu/Ubuntu-Regular.ttf HTTP/1.1" 200 351884
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /templates/auth/fonts/ubuntu/Ubuntu-Bold.ttf HTTP/1.1" 200 331612
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:00 +0700] "GET /favicon.ico HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:10 +0700] "POST /j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:11 +0700] "GET /admin/home HTTP/1.1" 200 12414
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:11 +0700] "GET /templates/admin/paging/jquery.twbsPagination.js HTTP/1.1" 200 12351
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:11 +0700] "GET /templates/admin/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 20020
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:11 +0700] "GET /templates/admin/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 59305
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:11 +0700] "GET /templates/admin/dist/css/adminlte.min.css HTTP/1.1" 200 1396747
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:11 +0700] "GET /templates/admin/plugins/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:11 +0700] "GET /templates/admin/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 83253
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:11 +0700] "GET /templates/admin/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42602
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:11 +0700] "GET /templates/admin/dist/js/adminlte.js HTTP/1.1" 200 104260
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:11 +0700] "GET /templates/admin/plugins/jquery-mousewheel/jquery.mousewheel.js HTTP/1.1" 200 8267
